time,open,high,low,close,vwap,volume,trades
2026-03-21 06:00:00+00:00,70692.2,70799.8,70690.6,70760.5,70746.2,8.15692807,755
2026-03-21 07:00:00+00:00,70760.6,70850.2,70660.1,70692.5,70768.5,19.11578633,860
2026-03-21 08:00:00+00:00,70695.6,70732.1,70484.2,70580.2,70571.5,17.1913268,740
2026-03-21 09:00:00+00:00,70580.3,70729.7,70577.5,70632.5,70662.8,310.85801088,1046
2026-03-21 10:00:00+00:00,70632.5,70663.6,70559.0,70585.1,70576.0,11.07653654,592
2026-03-21 11:00:00+00:00,70585.2,70633.6,70570.0,70633.6,70588.8,3.87108327,536
2026-03-21 12:00:00+00:00,70633.6,70764.8,70633.6,70707.2,70715.4,11.31428083,943
2026-03-21 13:00:00+00:00,70707.3,70783.8,70691.0,70717.0,70727.6,8.88426684,908
2026-03-21 14:00:00+00:00,70717.0,71071.7,70586.7,70620.4,70890.6,48.00451756,1844
2026-03-21 15:00:00+00:00,70620.4,70743.5,70450.0,70632.6,70569.2,14.13915352,1728
2026-03-21 16:00:00+00:00,70632.6,70632.6,70244.8,70286.8,70429.0,29.58883643,1498
2026-03-21 17:00:00+00:00,70286.8,70409.2,70189.5,70311.6,70282.0,28.51020284,1471
2026-03-21 18:00:00+00:00,70309.0,70500.7,70293.5,70382.2,70387.7,15.12375427,1284
2026-03-21 19:00:00+00:00,70382.2,70427.6,70320.0,70380.6,70359.2,7.22696975,984
2026-03-21 20:00:00+00:00,70380.7,70491.0,70344.6,70448.9,70398.1,17.75224138,1249
2026-03-21 21:00:00+00:00,70448.8,70495.1,70238.0,70352.4,70356.6,22.49601002,1138
2026-03-21 22:00:00+00:00,70352.4,70354.1,70255.1,70283.0,70304.1,8.43660149,1008
2026-03-21 23:00:00+00:00,70278.2,70278.2,68538.3,68907.7,69232.8,256.42578359,4979
2026-03-22 00:00:00+00:00,68907.7,69125.6,68250.1,68941.0,68693.9,147.32415237,5332
2026-03-22 01:00:00+00:00,68941.1,69081.0,68763.1,68952.6,68943.8,30.52421443,1945
2026-03-22 02:00:00+00:00,68952.6,69402.7,68952.6,69276.0,69224.6,30.17249647,2077
2026-03-22 03:00:00+00:00,69276.0,69569.5,69121.5,69332.6,69386.0,23.33654909,1545
2026-03-22 04:00:00+00:00,69332.6,69509.4,69204.6,69352.2,69322.3,16.66416475,1216
2026-03-22 05:00:00+00:00,69340.5,69343.3,69145.4,69145.5,69198.9,21.65882057,972
2026-03-22 06:00:00+00:00,69145.5,69213.3,69070.6,69141.1,69152.1,29.65165908,925
2026-03-22 07:00:00+00:00,69141.2,69227.4,68902.1,68902.2,69059.5,18.5360327,1327
2026-03-22 08:00:00+00:00,68902.2,68973.0,68561.0,68795.8,68778.3,47.53010411,1903
2026-03-22 09:00:00+00:00,68795.8,68880.6,68573.0,68819.8,68746.4,10.93452053,1218
2026-03-22 10:00:00+00:00,68819.9,68819.9,68597.4,68656.4,68683.8,7.75837317,1109
2026-03-22 11:00:00+00:00,68656.4,68671.4,68123.6,68208.0,68338.1,72.02113653,2400
2026-03-22 12:00:00+00:00,68211.0,68731.6,68172.6,68655.0,68445.0,39.54767873,1757
2026-03-22 13:00:00+00:00,68655.1,68940.2,68544.2,68702.3,68744.6,45.39831668,1942
2026-03-22 14:00:00+00:00,68702.3,68894.4,68555.9,68710.8,68725.3,47.62896951,1724
2026-03-22 15:00:00+00:00,68710.9,68979.5,68710.9,68824.7,68872.2,53.58402711,1802
2026-03-22 16:00:00+00:00,68824.7,68858.8,68693.2,68819.1,68776.7,22.66922667,1507
2026-03-22 17:00:00+00:00,68819.1,68833.1,68668.4,68684.5,68721.2,48.63295518,1443
2026-03-22 18:00:00+00:00,68684.5,68738.4,68363.9,68599.4,68557.0,34.10624438,1811
2026-03-22 19:00:00+00:00,68599.5,68619.8,68110.8,68180.2,68214.9,217.69368302,2538
2026-03-22 20:00:00+00:00,68180.2,68484.1,68075.0,68184.3,68271.5,41.41899475,1974
2026-03-22 21:00:00+00:00,68184.3,68199.9,67343.1,67871.0,67693.4,317.2039757,5421
2026-03-22 22:00:00+00:00,67872.4,68377.0,67571.2,68309.1,68063.3,75.77657761,2795
2026-03-22 23:00:00+00:00,68309.1,68443.6,67843.7,67857.1,68135.9,38.55565229,1958
2026-03-23 00:00:00+00:00,67857.1,68144.2,67443.2,67677.5,67836.6,64.2789601,2747
2026-03-23 01:00:00+00:00,67677.5,68124.0,67544.3,67900.1,67991.4,40.07561481,2024
2026-03-23 02:00:00+00:00,67900.1,68353.3,67808.6,68308.0,68178.8,44.55814671,1676
2026-03-23 03:00:00+00:00,68307.1,68556.9,68047.4,68057.3,68336.9,38.41241538,1517
2026-03-23 04:00:00+00:00,68057.3,68520.1,68034.2,68519.7,68272.8,28.06815238,1211
2026-03-23 05:00:00+00:00,68519.7,68869.5,68519.7,68869.5,68695.7,85.44347238,2183
2026-03-23 06:00:00+00:00,68869.5,68876.9,67692.8,67837.4,68060.3,49.6238834,2345
2026-03-23 07:00:00+00:00,67837.4,68429.2,67500.1,68297.8,67997.8,103.29745529,2586
2026-03-23 08:00:00+00:00,68307.0,68665.6,68307.0,68424.2,68532.7,69.19712375,2087
